Description,"Landing Page ID","Internal Description","Landing Page Data","Tracking Domain",Channels,"Affiliate Visibility","Marketing Groups","Filter Tags","Exclusive Groups",Preview,"Created At"
"Bets10 - Quiz",931,,https://bonus.8020bets10.com/tr/tahmin-gucunle-500-tl-kazan-2/?from=%PREFIX%-%USER_HASH_ID%,cdnr1.awsbtcdn111.com,Bets10,"Bets10: *Visible*","brand - bets10
language - turkish
product - sportsbook",,,,"2025-01-17 13:12:46"
"Casinometropol - Sports Betting page",930,,https://www.casinometropol8012.com/tr/spor-bahisleri?from=%PREFIX%-%USER_HASH_ID%,cdnr4.akamcmecdn400.com,CasinoMetropol,"CasinoMetropol: *Visible*","brand - casinometropol
language - turkish",,,,"2025-01-15 11:43:13"
"Casinomaxi - Balloon",929,,https://www.casinomaxi8006.com/tr/casino/crash/balloon?from=%PREFIX%-%USER_HASH_ID%,cdnr3.cldfrcmacdn311.com,CasinoMaxi,"CasinoMaxi: *Visible*","brand - casinomaxi
language - turkish",,,,"2025-01-08 13:26:40"
"Casinomaxi - Release the Kraken 2",928,,https://www.casinomaxi8006.com/en/casino/slots/release-the-kraken-2?gameAction=playforfun#from=%PREFIX%-%USER_HASH_ID%,cdnr3.cldfrcmacdn311.com,CasinoMaxi,"CasinoMaxi: *Visible*","brand - casinomaxi
language - turkish",,,,"2025-01-07 10:41:46"
"Casinometropol - Release the kraken 2",927,,https://www.casinometropol8012.com/en/casino/slots/release-the-kraken-2?gameAction=playforfun#from=%PREFIX%-%USER_HASH_ID%,cdnr4.akamcmecdn411.com,CasinoMetropol,"CasinoMetropol: *Visible*","brand - casinometropol
language - turkish",,,,"2025-01-07 10:40:07"
"CasinoMetropol -  Big Bass Crash",926,,https://www.casinometropol8012.com/tr/casino/crash/big-bass-crash/?from=%PREFIX%-%USER_HASH_ID%,cdnr2.azrmbcdn200.com,CasinoMetropol,"CasinoMetropol: *Visible*","brand - casinometropol
language - turkish",,,,"2024-12-27 16:35:01"
"Bets10 - Santa's Great Gift",925,,https://www.8020bets10.com/tr/casino/slotlar/santas-great-gifts?from=%PREFIX%-%USER_HASH_ID%,cdnr1.awsbtcdn100.com,Bets10,"Bets10: *Visible*","brand - bets10
language - turkish
product - sportsbook",,,,"2024-12-11 15:03:21"
"Bets10 - HAFTANIN MAÇLARINA 30.00 ORAN İLE 1.500 TL KAZAN",924,,https://bonus.8020bets10.com/tr/ekstra-oranla-kazanca-ulas/?from=%PREFIX%-%USER_HASH_ID%,cdnr1.awsbtcdn100.com,Bets10,"Bets10: *Visible*","brand - bets10
language - turkish
product - sportsbook",,,,"2024-12-04 11:28:17"
"Casinometropol - Santa's Great Gift",923,,https://www.casinometropol8012.com/tr/casino/slotlar/santas-great-gifts/?from=%PREFIX%-%USER_HASH_ID%,cdnr4.akamcmecdn411.com,CasinoMetropol,"CasinoMetropol: *Visible*","brand - casinometropol
language - turkish",,,,"2024-12-02 13:56:09"
"Casinomaxi - Santa's Great Gift",922,,https://www.casinomaxi8006.com/tr/casino/slotlar/santas-great-gifts/?from=%PREFIX%-%USER_HASH_ID%,cdnr3.cldfrcmacdn311.com,CasinoMaxi,"CasinoMaxi: *Visible*","brand - casinomaxi
language - turkish",,,,"2024-12-02 13:55:21"
"Mobilbahis - Santa's Great Gift",921,,https://www.mobilbahis8009.com/tr/casino/slotlar/santas-great-gifts?from=%PREFIX%-%USER_HASH_ID%,cdnr2.azrmbcdn200.com,"Mobil Bahis","Mobil Bahis: *Visible*","language - turkish
brand - mobilbahis",,,,"2024-11-28 09:39:53"
"Bets10 - Real Betis Resmi Sponsoru",920,,https://bonus.8020bets10.com/tr/real-betis-resmi-sponsoru-bets10/?from=%PREFIX%-%USER_HASH_ID%,cdnr1.awsbtcdn100.com,Bets10,"Bets10: *Visible*","brand - bets10
language - turkish
product - sportsbook",,,,"2024-11-15 14:20:23"
" Bets10 - Uselection SM",919,,https://www.8020bets10.com/tr/spor-bahisleri/politika/usa/amerika-baskanlik-secimleri?tab=outrights&from=%PREFIX%-%USER_HASH_ID%,clbanners2.com,Bets10,"Bets10: *Not visible*","brand - bets10
language - turkish
product - sportsbook",,,,"2024-11-05 13:31:12"
"Mobilbahis - Balloon Game",918,,https://www.mobilbahis8009.com/tr/casino/crash/balloon?gameAction=playforfun#from=%PREFIX%-%USER_HASH_ID%,cdnr4.akamcmecdn400.com,"Mobil Bahis","Mobil Bahis: *Visible*","language - turkish
brand - mobilbahis",,,,"2024-11-01 15:17:57"
"Bets10 -  Legendary Extra Odds",917,,https://bonus.8020bets10.com/tr/efsane-ekstra-oran-2/?from=%PREFIX%-%USER_HASH_ID%,cdnr1.awsbtcdn100.com,Bets10,"Bets10: *Visible*","brand - bets10
language - turkish
product - sportsbook",,,,"2024-10-23 15:22:51"
"Casinometropol - Santa Spins",916,,https://www.casinometropol8012.com/tr/casino/slotlar/santa-spins?from=%PREFIX%-%USER_HASH_ID%,cdnr4.akamcmecdn400.com,CasinoMetropol,"CasinoMetropol: *Visible*","brand - casinometropol
language - turkish",,,,"2024-10-17 15:06:59"
"Casinometropol - Santa",915,,https://www.casinometropol8012.com/tr/casino/slotlar/santa?from=%PREFIX%-%USER_HASH_ID%,cdnr4.akamcmecdn400.com,CasinoMetropol,"CasinoMetropol: *Visible*","brand - casinometropol
language - turkish",,,,"2024-10-17 15:06:00"
